12:35:33.403205 config: drop-rate=0.30, max-delay=1s, seed=1
12:36:40.664840 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delivered
12:36:40.965207 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delivered
12:36:40.971172 [queue=1] packet #4, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=9 is delayed for 30ms
12:36:41.002262 [queue=0] packet #4, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=9 is delivered
12:36:41.002496 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is dropped
12:36:43.484831 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delayed for 120ms
12:36:43.606005 [queue=0] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is delivered
12:36:43.978750 [queue=0] packet #4, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=9 is dropped
12:36:46.486353 [queue=0] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is dropped
12:36:46.986172 [queue=1] packet #4, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=9 is delayed for 400ms
12:36:47.387323 [queue=0] packet #4, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=9 is delivered
12:36:47.387681 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delayed for 510ms
12:36:47.898891 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delivered
12:36:47.905568 [queue=1] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 400ms
12:36:48.307095 [queue=0] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:36:48.308681 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delayed for 440ms
12:36:48.750190 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=0 is delivered
12:36:48.752471 [queue=1] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 50ms
12:36:48.803961 [queue=0] packet #0, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delivered
12:36:48.807504 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is dropped
12:36:48.807550 [queue=1] packet #2, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delayed for 900ms
12:36:48.807633 [queue=1] packet #3, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is dropped
12:36:49.488064 [queue=1] packet #0, 127.0.0.1:53819 -> 127.0.0.1:8007, sz=0 is dropped
12:36:49.708714 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:55326, sz=20 is delivered
12:36:49.709112 [queue=1] packet #2, 127.0.0.1:55326 -> 127.0.0.1:8007, sz=0 is delayed for 310ms
